_id,STREET NAME,STREET TYPE,STREET SUFFIX,SUBURB
151,AINSDALE,Street,,CHERMSIDE WEST
152,AINSLIE,Street,,ALDERLEY
153,AINSWORTH,Street,,SALISBURY
154,AINTREE,Street,,HOLLAND PARK WEST
155,AIR,Street,,BALD HILLS
156,AIRD,Street,,SALISBURY
157,AIRLIE,Road,,PULLENVALE
158,AIRPORT,Drive,,BRISBANE AIRPORT
159,AIRVILLE,Street,,DURACK
160,AIRY,Street,,WACOL
161,AITCHESON,Street,,MOGGILL
162,AJAX,Lane,,ASHGROVE
163,AJI,Street,,ALGESTER
164,AKALA,Street,,CAMP HILL
165,AKAMA,Road,,DURACK
166,AKAROA,Avenue,,GEEBUNG
167,AKENSIDE,Street,,WACOL
168,AKONA,Place,,KARANA DOWNS
169,AKONNA,Street,,WYNNUM
170,AKORA,Street,,MACGREGOR
171,AKUNA,Court,,HEMMANT
172,AKUNA,Street,,KENMORE
173,ALABASTER,Place,,SUNNYBANK HILLS
174,ALAMINE,Street,,HOLLAND PARK
175,ALAN,Crescent,,EIGHT MILE PLAINS
176,ALANA,Court,,CHAPEL HILL
177,ALAND,Street,,WAVELL HEIGHTS
178,ALASTAIR,Street,,LOTA
179,ALASTAIR,Street,,MANLY
180,ALBA,Close,,FOREST LAKE
181,ALBA,Place,,BRIDGEMAN DOWNS
182,ALBAN,Street,,OXLEY
183,ALBANY CREEK,Road,,ASPLEY
184,ALBANY CREEK,Road,,BRIDGEMAN DOWNS
185,ALBANY,Close,,RUNCORN
186,ALBANY,Street,,WINDSOR
187,ALBAR,Street,,WAVELL HEIGHTS
188,ALBATROSS,Street,,UPPER KEDRON
189,ALBEMARLE,Street,,YEERONGPILLY
190,ALBEMARLE,Street,,YERONGA
191,ALBERON,Street,,WISHART
192,ALBERT,Place,,PARKINSON
193,ALBERT,Street,,ANNERLEY
194,ALBERT,Street,,BRISBANE CITY
195,ALBERT,Street,,CAMP HILL
196,ALBERT,Street,,DOOLANDELLA
197,ALBERT,Street,,HOLLAND PARK WEST
198,ALBERT,Street,,ROCKLEA
199,ALBERT,Street,,SPRING HILL
200,ALBERT,Street,,WOOLLOONGABBA
201,ALBERTON,Court,,EIGHT MILE PLAINS
202,ALBEZIA,Street,,ALGESTER
203,ALBION,Road,,ALBION
204,ALBION,Road,,WINDSOR
205,ALBION,Street,,SANDGATE
206,ALBION,Street,,WOOLLOONGABBA
207,ALBURY,Street,,DEAGON
208,ALBYN,Road,,SUNNYBANK
209,ALCESTER,Street,,GRANGE
210,ALCHERINGA,Place,,ROBERTSON
211,ALCONAH,Street,,SUNNYBANK
212,ALCORN,Street,,TARRAGINDI
213,ALDA,Street,,STAFFORD HEIGHTS
214,ALDEA,Circuit,,BRACKEN RIDGE
215,ALDEA,Place,,STRETTON
216,ALDEBARAN,Street,,INALA
217,ALDEN,Street,,FORTITUDE VALLEY
218,ALDER,Street,,BELLBOWRIE
219,ALDERBURY,Place,,CARINDALE
220,ALDERGROVE,Street,,CHAPEL HILL
221,ALDERLEY,Avenue,,ALDERLEY
222,ALDERSGATE,Street,,OXLEY
223,ALDERSHOT,Street,,SUNNYBANK
224,ALDERSON,Street,,ALDERLEY
225,ALDERSON,Street,,NEWMARKET
226,ALDERWOOD,Street,,ACACIA RIDGE
227,ALDFORD,Street,,CARINDALE
228,ALDGATE,Street,,EVERTON PARK
229,ALDINGA,Street,,GAYTHORNE
230,ALDIS,Street,,CHANDLER
231,ALDORA,Street,,TARRAGINDI
232,ALDREN,Street,,STAFFORD HEIGHTS
233,ALDRIDGE,Street,,AUCHENFLOWER
