_id,STREET NAME,STREET TYPE,STREET SUFFIX,SUBURB
4589,DOLLIS,Street,,SALISBURY
4590,DOLMAN,Road,,ANSTEAD
4591,DOLOMITE,Street,,RUNCORN
4592,DOLPHIN,Street,,MACGREGOR
4593,DOLTON,Street,,ASHGROVE
4594,DOMATIA,Street,,HEATHWOOD
4595,DOMBEY,Street,,BALD HILLS
4596,DOME,Street,,EIGHT MILE PLAINS
4597,DOMINIC,Place,,HEATHWOOD
4598,DOMINION,Street,,EIGHT MILE PLAINS
4599,DOMITIA,Avenue,,SEVEN HILLS
4600,DOMMETT,Street,,KENMORE
4601,DON YOUNG,Road,,NATHAN
4602,DON,Street,,ASHGROVE
4603,DON,Street,,FERNY GROVE
4604,DONALD,Street,,CAMP HILL
4605,DONALDSON,Road,,ROCKLEA
4606,DONALDSON,Street,,CORINDA
4607,DONALDSON,Street,,GREENSLOPES
4608,DONALDSON,Street,,NORMAN PARK
4609,DONALDSON,Street,,PADDINGTON
4610,DONAT,Close,,STAFFORD HEIGHTS
4611,DONATELLO,Street,,FIG TREE POCKET
4612,DONBETH,Street,,WYNNUM WEST
4613,DONCASTER,Place,,FOREST LAKE
4614,DONCASTER,Street,,HENDRA
4615,DONCELLA,Street,,THE GAP
4616,DONEGAL,Place,,THE GAP
4617,DONEGAL,Street,,KURABY
4618,DONFERN,Street,,MOUNT GRAVATT
4619,DONGOLA,Street,,DURACK
4620,DONKIN,Street,,NUNDAH
4621,DONKIN,Street,,WEST END
4622,DONNA,Street,,KENMORE
4623,DONNELLY,Court,,SINNAMON PARK
4624,DONNINGTON,Street,,CARINDALE
4625,DONOVAN,Street,,ZILLMERE
4626,DOOLEY,Close,,TAIGUM
4627,DOOMBEN,Place,,BRACKEN RIDGE
4628,DOONE,Street,,MACGREGOR
4629,DOOREY,Street,,KEPERRA
4630,DOPSON,Street,,TARINGA
4631,DORA,Street,,HENDRA
4632,DORA,Street,,MOOROOKA
4633,DORADO,Street,,INALA
4634,DORAL,Close,,OXLEY
4635,DORAMES,Street,,HENDRA
4636,DORAN,Close,,WESTLAKE
4637,DORCHESTER,Street,,SOUTH BRISBANE
4638,DOREEN,Crescent,,ELLEN GROVE
4639,DORIA,Street,,COORPAROO
4640,DORIEN,Street,,MOUNT GRAVATT EAST
4641,DORINDA,Street,,GREENSLOPES
4642,DORIS,Street,,DEAGON
4643,DORIS,Street,,EIGHT MILE PLAINS
4644,DORIS,Street,,KURABY
4645,DORIS,Street,,WEST END
4646,DORKAY,Street,,STAFFORD HEIGHTS
4647,DORKING,Street,,CARINA
4648,DORLOO,Street,,DEAGON
4649,DORNIE,Place,,FIG TREE POCKET
4650,DORNOCH,Crescent,,FERNY GROVE
4651,DORNOCH,Terrace,,HIGHGATE HILL
4652,DORNOCH,Terrace,,WEST END
4653,DOROTHEA,Street,,CANNON HILL
4654,DOROTHEY NEWNHAM,Street,,COWAN COWAN
4655,DOROTHY,Lane,,CAMP HILL
4656,DOROTHY,Street,,CAMP HILL
4657,DORRIGO,Place,,FITZGIBBON
4658,DORRIGO,Street,,KEDRON
4659,DORRIGO,Street,,STAFFORD HEIGHTS
4660,DORRINGTON,Drive,,ASHGROVE
4661,DORS,Court,,STAFFORD HEIGHTS
4662,DORSET,Street,,ASHGROVE
4663,DORSEY,Street,,MILTON
4664,DORVAL,Close,,MANSFIELD
4665,DORVILLE,Road,,ASPLEY
4666,DORVILLE,Road,,CARSELDINE
4667,DOUGHBOY,Parade,,HEMMANT
4668,DOUGHTY,Avenue,,HOLLAND PARK WEST
4669,DOUGLAS,Close,,WYNNUM WEST
4670,DOUGLAS,Road,,ROCKLEA
4671,DOUGLAS,Road,,SALISBURY
4672,DOUGLAS,Street,,BRIGHTON
4673,DOUGLAS,Street,,COORPAROO
4674,DOUGLAS,Street,,ENOGGERA
4675,DOUGLAS,Street,,GREENSLOPES
4676,DOUGLAS,Street,,MILTON
4677,DOUGLAS,Street,,OXLEY
4678,DOUGLAS,Street,,SHERWOOD
4679,DOUGLAS,Street,,SPRING HILL
4680,DOUGLAS,Street,,ST LUCIA
4681,DOUGLAS,Street,,YERONGA
4682,DOUGY,Place,,BELLBOWRIE
4683,DOULEIN,Street,,WAVELL HEIGHTS
4684,DOULTON,Close,,HEMMANT
4685,DOULTON,Street,,CALAMVALE
4686,DOULTON,Street,,STAFFORD HEIGHTS
4687,DOVE TREE,Crescent,,SINNAMON PARK
4688,DOVE,Street,,INALA
4689,DOVEDALE,Crescent,,ASHGROVE
4690,DOVER,Street,,ALBION
4691,DOVER,Street,,HAWTHORNE
4692,DOVER,Street,,RED HILL
4693,DOVER,Street,,WILSTON
4694,DOVERCOURT,Road,,TOOWONG
4695,DOWAR,Street,,COORPAROO
4696,DOWDING,Street,,DARRA
4697,DOWDING,Street,,OXLEY
4698,DOWLING,Place,,CALAMVALE
4699,DOWLING,Place,,MANLY WEST
4700,DOWLING,Street,,AUCHENFLOWER
4701,DOWN,Street,,BOWEN HILLS
4702,DOWNES,Street,,TARRAGINDI
4703,DOWNEY,Street,,WINDSOR
4704,DOWNFALL,Road,,VIRGINIA
4705,DOWNING,Street,,SPRING HILL
4706,DOWNLANDS,Place,,BOONDALL
4707,DOWRIE,Street,,UPPER MOUNT GRAVATT
4708,DOWSE,Street,,PADDINGTON
4709,DOYLE,Place,,PULLENVALE
4710,DOYLE,Place,,THE GAP
4711,DOYLE,Street,,COORPAROO
4712,DOYNTON,Place,,ASPLEY
4713,DRACO,Street,,INALA
4714,DRAKE,Place,,FOREST LAKE
4715,DRAKE,Street,,EVERTON PARK
4716,DRAKE,Street,,WEST END
4717,DRANE,Street,,CLAYFIELD
4718,DRAY,Court,,RIVERHILLS
4719,DRAYTON,Place,,THE GAP
4720,DRAYTON,Terrace,,WYNNUM
4721,DRESDEN,Street,,BALD HILLS
4722,DRESS CIRCLE,Court,,BRIDGEMAN DOWNS
4723,DRESSAGE,Place,,FIG TREE POCKET
4724,DRIFTWOOD,Street,,SUNNYBANK HILLS
4725,DRILLHAM,Street,,MURARRIE
4726,DRISHANE,Street,,THE GAP
4727,DRIVER,Street,,HOLLAND PARK WEST
4728,DROMOS,Street,,EIGHT MILE PLAINS
4729,DROUYN,Street,,DEAGON
4730,DROVERS,Place,,SUMNER
4731,DROVERS,Street,,UPPER KEDRON
4732,DRUID,Court,,EIGHT MILE PLAINS
4733,DRUMMOND,Street,,ALDERLEY
4734,DRUMMOND,Street,,GREENSLOPES
4735,DRUMMOND,Street,,SINNAMON PARK
4736,DRURY,Lane,,ANNERLEY
4737,DRURY,Lane,,MOUNT GRAVATT EAST
4738,DRURY,Street,,WEST END
4739,DRURY,Street,,WINDSOR
4740,DRYANDRA,Street,,SUNNYBANK HILLS
4741,DRYNAN,Street,,PADDINGTON
4742,DRYSDALE,Close,,MACKENZIE
4743,DRYSDALE,Crescent,,BROOKFIELD
4744,DRYSDALE,Street,,MOUNT OMMANEY
4745,DRYSDALE,Street,,WYNNUM WEST
4746,DUART,Court,,CARINDALE
4747,DUBARRY,Street,,SUNNYBANK HILLS
4748,DUBLIN,Street,,CLAYFIELD
4749,DUBLIN,Street,,YERONGA
4750,DUCIE,Street,,DARRA
4751,DUDLEY,Street,,ANNERLEY
4752,DUDLEY,Street,,BARDON
4753,DUDLEY,Street,,HIGHGATE HILL
4754,DUDLEY,Street,,PADDINGTON
4755,DUDLEY,Street,,SHERWOOD
4756,DUDLEY,Street,East,ANNERLEY
4757,DUFF,Street,,WAVELL HEIGHTS
4758,DUFFY,Street,,ZILLMERE
4759,DUGALD,Street,,ASPLEY
4760,DUGGAN,Street,,KEPERRA
4761,DUHIG,Avenue,,COORPAROO
4762,DUKE,Street,,ANNERLEY
4763,DUKE,Street,,ASCOT
4764,DUKE,Street,,BRIGHTON
4765,DUKE,Street,,BULIMBA
4766,DUKE,Street,,CANNON HILL
4767,DUKE,Street,,GAYTHORNE
4768,DUKE,Street,,KANGAROO POINT
4769,DUKE,Street,,NUNDAH
4770,DUKE,Street,,TARINGA
4771,DUKE,Street,,TOOWONG
4772,DUKINFIELD,Street,,BOWEN HILLS
4773,DULACCA,Street,,ACACIA RIDGE
4774,DULCIE,Street,,SALISBURY
4775,DULCIS,Place,,WYNNUM WEST
4776,DULENDELLA,Street,,ZILLMERE
4777,DULHUNTY,Street,,CHAPEL HILL
4778,DULTHARA,Court,,DURACK
4779,DULVERTON,Street,,DURACK
4780,DULWICH,Place,,FOREST LAKE
4781,DULWICH,Road,,YERONGA
4782,DULZURA,Street,,THE GAP
4783,DUMARESQ,Street,,SUNNYBANK HILLS
4784,DUMAS,Street,,DURACK
4785,DUMAURIER,Street,,CHERMSIDE
4786,DUMBARTON,Drive,,KENMORE
4787,DUMFRIES,Street,,KENMORE
4788,DUNAWAY,Street,,MCDOWALL
4789,DUNBAR,Street,,MOUNT GRAVATT EAST
4790,DUNCAN,Avenue,,BALD HILLS
4791,DUNCAN,Street,,FORTITUDE VALLEY
4792,DUNCAN,Street,,WEST END
4793,DUNCAN,Street,,WYNNUM WEST
4794,DUNCANNON,Street,,DURACK
4795,DUNCOMBE,Street,,DURACK
4796,DUNCROFT,Street,,WYNNUM WEST
4797,DUNDAL,Street,,MITCHELTON
4798,DUNDALLI,Street,,CHERMSIDE WEST
4799,DUNDAS,Street,,OXLEY
4800,DUNDEE,Crescent,,WAKERLEY
4801,DUNDEE,Place,,UPPER KEDRON
4802,DUNDEE,Street,,CALAMVALE
4803,DUNDEE,Street,,HOLLAND PARK
4804,DUNDONALD,Street,,EVERTON PARK
4805,DUNEDIN,Street,,SUNNYBANK
4806,DUNEDOO,Street,,STAFFORD
4807,DUNELLA,Street,,SHERWOOD
4808,DUNELLAN,Street,,GREENSLOPES
4809,DUNGORY,Street,,THE GAP
4810,DUNHILL,Crescent,,MORNINGSIDE
4811,DUNKELD,Street,,ACACIA RIDGE
4812,DUNKIRK,Street,,GAYTHORNE
4813,DUNLEATH,Street,,DURACK
4814,DUNLOP,Street,,BOWEN HILLS
4815,DUNLOP,Terrace,,CORINDA
4816,DUNLUCE,Court,,KEPERRA
4817,DUNMORE,Terrace,,AUCHENFLOWER
4818,DUNN,Court,,FOREST LAKE
4819,DUNN,Road,,ROCKLEA
4820,DUNNE,Road,,BURBANK
4821,DUNNE,Road,,ROCHEDALE
4822,DUNNE,Street,,BRIGHTON
4823,DUNOOLA,Place,,PARKINSON
4824,DUNOON,Court,,FERNY GROVE
4825,DUNOON,Court,,KARANA DOWNS
4826,DUNPHY,Street,,SUNNYBANK HILLS
4827,DUNRAVEN,Close,,DURACK
4828,DUNROD,Street,,HOLLAND PARK WEST
4829,DUNSFORD,Street,,ZILLMERE
4830,DUNSHAW,Court,,WISHART
4831,DUNSMORE,Street,,KELVIN GROVE
4832,DUNSMURE,Close,,DURACK
4833,DUNSTABLE,Street,,MACGREGOR
4834,DUNSTAN,Street,,MOOROOKA
4835,DUNSTAN,Street,,WILLAWONG
4836,DUNTREATH,Street,,KEPERRA
4837,DUNVEGAN,Place,,CARINDALE
4838,DUNVEGAN,Street,,HEATHWOOD
4839,DUPORTH,Road,,DARRA
4840,DUPORTH,Road,,SEVENTEEN MILE ROCKS
4841,DUPRE,Street,,UPPER MOUNT GRAVATT
4842,DURACK,Street,,MOOROOKA
4843,DURANT,Street,,MOUNT GRAVATT EAST
4844,DURANTA,Street,,BELLBOWRIE
4845,DURBAR,Street,,SUNNYBANK HILLS
4846,DURBELL,Street,,ACACIA RIDGE
4847,DURELLA,Street,,DURACK
4848,DURHAM,Place,,TAIGUM
4849,DURHAM,Street,,COORPAROO
4850,DURHAM,Street,,ST LUCIA
4851,DURIMBIL,Street,,CAMP HILL
4852,DURNESS,Street,,KENMORE
4853,DURONG,Street,,NEWSTEAD
4854,DURRANG,Street,,DURACK
4855,DURRE,Street,,CALAMVALE
4856,DURUNDUR,Court,,DURACK
4857,DURWUN,Close,,DURACK
4858,DUSK,Street,,KENMORE
4859,DUTHIE,Court,,CARINDALE
4860,DUTTON,Road,,PINKENBA
4861,DUTTON,Street,,DUTTON PARK
4862,DUTTON,Street,,HAWTHORNE
4863,DUVAL,Street,,WYNNUM WEST
4864,DWYER,Street,,NUNDAH
4865,DYER,Street,,CHAPEL HILL
4866,DYKES,Street,,MOUNT GRAVATT EAST
4867,DYNE,Street,,RED HILL
4868,DYSART,Court,,RUNCORN
4869,DYSON,Avenue,,SUNNYBANK
4870,EACHAM,Close,,WESTLAKE
4871,EADE,Street,,ACACIA RIDGE
4872,EADIE,Place,,HEMMANT
4873,EAGAR,Street,,ASHGROVE
4874,EAGLE FARM,Road,,PINKENBA
4875,EAGLE,Lane,,BRISBANE CITY
4876,EAGLE,Parade,,ROCHEDALE
4877,EAGLE,Street,,ALDERLEY
4878,EAGLE,Street,,BRISBANE CITY
4879,EAGLE,Terrace,,AUCHENFLOWER
4880,EAGLE,Terrace,,BRISBANE CITY
4881,EAGLE,Terrace,,MILTON
4882,EAGLE,Terrace,,SANDGATE
4883,EAGLE,Terrace,,SHORNCLIFFE
4884,EAGLEVIEW,Place,,EAGLE FARM
4885,EAGLIE,Street,,CHAPEL HILL
4886,EAKIN,Lane,,PADDINGTON
4887,EALING,Street,,ANNERLEY
4888,EAMES,Street,,BANYO
4889,EARL,Parade,,MANLY
4890,EARL,Street,,GREENSLOPES
4891,EARL,Street,,PETRIE TERRACE
4892,EARL,Street,,RUNCORN
4893,EARLE,Court,,BROOKFIELD
4894,EARLE,Lane,,TOOWONG
4895,EARLE,Street,,WINDSOR
4896,EARLS,Court,,CALAMVALE
4897,EARLSFIELD,Court,,CARINDALE
4898,EARLY,Lane,,WEST END
4899,EARN,Close,,WESTLAKE
4900,EARNSHAW,Road,,BANYO
4901,EARNSHAW,Road,,NORTHGATE
4902,EARNSHAW,Road,,NUDGEE
4903,EARNSHAW,Street,,CALAMVALE
4904,EAST,Avenue,,BRIGHTON
4905,EAST,Street,,CAMP HILL
4906,EAST,Street,,CARINA
4907,EAST,Street,,FORTITUDE VALLEY
4908,EAST,Street,,KEDRON
4909,EAST,Street,,LUTWYCHE
4910,EAST-WEST ARTERIAL,Road,,HENDRA
4911,EASTBOURNE,Street,,CHERMSIDE WEST
4912,EASTCOURT,Lane,,SUNNYBANK HILLS
4913,EASTER,Street,,BRIGHTON
4914,EASTGATE,Street,,CARINA
4915,EASTLEIGH,Lane,,COORPAROO
4916,EASTLEIGH,Street,,CHERMSIDE
4917,EASTMENT,Street,,BARDON
4918,EASTMERE,Street,,RUNCORN
4919,EASTON,Close,,THE GAP
4920,EASTON,Street,,BANYO
4921,EASTRIDGE,Place,,KURABY
4922,EASTWELL,Street,,COORPAROO
4923,EASTWOOD,Close,,SUNNYBANK HILLS
4924,EASTWOOD,Drive,,MANSFIELD
4925,EASTWOOD,Place,,MCDOWALL
4926,EASTWOOD,Street,,CHANDLER
4927,EATON,Lane,,SPRING HILL
4928,EATON,Place,,SUNNYBANK HILLS
4929,EATON,Place,,WISHART
4930,EBB,Court,,BULIMBA
4931,EBBERN,Street,,DARRA
4932,EBLIN,Drive,,HAMILTON
4933,EBONY,Court,,MITCHELTON
4934,EBONY,Place,,STRETTON
4935,EBONY,Street,,INALA
4936,EBOR,Street,,TOOWONG
4937,EBRILL,Street,,JAMBOREE HEIGHTS
4938,EBRINGTON,Street,,DARRA
4939,EBURY,Street,,ACACIA RIDGE
4940,ECCLES,Street,,WYNNUM WEST
4941,ECCLESTON,Street,,FIG TREE POCKET
4942,ECHIDNA,Close,,DOOLANDELLA
4943,ECHIDNA,Street,,KARAWATHA
4944,ECHIDNA,Street,,ROCHEDALE
4945,ECHO,Street,,MITCHELTON
4946,ECKERSLEY,Street,,TARRAGINDI
4947,ECLIPSE,Street,,BRIDGEMAN DOWNS
4948,EDALE,Street,,KENMORE
4949,EDDINGTON,Street,,SUNNYBANK
4950,EDDOWES,Street,,KEDRON
4951,EDDYSTONE,Road,,CORINDA
4952,EDDYSTONE,Road,,OXLEY
4953,EDEN ELM,Street,,CALAMVALE
4954,EDEN,Lane,,HAMILTON
4955,EDENBROOKE,Drive,,SEVENTEEN MILE ROCKS
4956,EDENBROOKE,Drive,,SINNAMON PARK
4957,EDENCOURT,Street,,CAMP HILL
4958,EDENDERRY,Street,,MANLY WEST
4959,EDENVALE,Street,,OXLEY
4960,EDGAR,Street,,BOWEN HILLS
4961,EDGAR,Street,,EAST BRISBANE
4962,EDGAR,Street,,NEWMARKET
4963,EDGAR,Street,,NORTHGATE
4964,EDGAR,Street,,WEST END
4965,EDGAR,Street,,WINDSOR
4966,EDGE,Street,,MURARRIE
4967,EDGEHILL,Street,,NATHAN
4968,EDGEWARE,Close,,SUNNYBANK HILLS
4969,EDGEWATER,Place,,BULIMBA
4970,EDINA,Street,,THE GAP
4971,EDINBURGH CASTLE,Road,,KEDRON
4972,EDINBURGH CASTLE,Road,,WAVELL HEIGHTS
4973,EDINBURGH,Close,,UPPER KEDRON
4974,EDINBURGH,Crescent,,PALLARA
4975,EDINGLASSIE,Street,,SEVENTEEN MILE ROCKS
4976,EDISON,Lane,,BRISBANE CITY
4977,EDITH,Street,,ALDERLEY
4978,EDITH,Street,,COOPERS PLAINS
4979,EDITH,Street,,DEAGON
4980,EDITH,Street,,ENOGGERA
4981,EDITH,Street,,FOREST LAKE
4982,EDITH,Street,,STONES CORNER
4983,EDITH,Street,,SUNNYBANK
4984,EDITH,Street,,WYNNUM
4985,EDITH,Terrace,,RED HILL
4986,EDMOND,Street,,CARINA
4987,EDMOND,Street,,COORPAROO
4988,EDMONDSON,Street,,CORINDA
4989,EDMONDSTONE,Road,,BOWEN HILLS
4990,EDMONDSTONE,Street,,NEWMARKET
4991,EDMONDSTONE,Street,,SOUTH BRISBANE
4992,EDMONDSTONE,Street,,WILSTON
4993,EDMUND,Street,,NEWSTEAD
4994,EDMUND,Street,,WINDSOR
4995,EDNA,Street,,SALISBURY
4996,EDRED,Street,,CARINDALE
4997,EDRIC,Street,,HOLLAND PARK WEST
4998,EDRIS,Street,,ALDERLEY
4999,EDSON,Street,,KENMORE
5000,EDUARD,Place,,CALAMVALE
5001,EDWARD,Close,,UPPER KEDRON
5002,EDWARD,Place,,SINNAMON PARK
5003,EDWARD,Street,,BRISBANE CITY
5004,EDWIN,Street,,KURABY
5005,EDWIN,Street,,WYNNUM WEST
5006,EDZELL,Place,,CARINDALE
5007,EFFIE,Street,,BARDON
5008,EFFINGHAM,Street,,TARRAGINDI
5009,EFFRA,Street,,WISHART
5010,EGAN,Street,,EVERTON PARK
5011,EGBERT,Street,,WEST END
5012,EGERT,Court,,CARINDALE
5013,EGGLETON,Place,,WAKERLEY
5014,EGMONT,Street,,SHERWOOD
5015,EGRET,Place,,TAIGUM
5016,EGRET,Street,,INALA
5017,EGRET,Street,,UPPER KEDRON
5018,EHLERS,Close,,CARINDALE
5019,EIDER,Close,,FOREST LAKE
5020,EIDER,Court,,TAIGUM
5021,EIDSVOLD,Street,,KEPERRA
5022,EIGHTEENTH,Avenue,,BRIGHTON
5023,EIGHTH,Avenue,,COORPAROO
5024,EIGHTH,Avenue,,GRANGE
5025,EIGHTH,Avenue,,KEDRON
5026,EIGHTH,Avenue,,SANDGATE
5027,EIGHTH,Avenue,,ST LUCIA
5028,EIGHTH,Avenue,,WILSTON
5029,EILDON,Road,,WINDSOR
5030,EILEY,Street,,RUNCORN
5031,EIRROC,Street,,ARCHERFIELD
5032,EISENHOWER,Street,,STRETTON
5033,EISLEY,Street,,TINGALPA
5034,EKIBIN,Road,,ANNERLEY
5035,EKIBIN,Road,East,ANNERLEY
5036,EKIBIN,Road,East,TARRAGINDI
5037,EKLAND,Court,,MCDOWALL
5038,EL PASO,Street,,BARDON
5039,ELABANA,Place,,FOREST LAKE
5040,ELAINE,Street,,BRACKEN RIDGE
5041,ELAM,Street,,WINDSOR
5042,ELAMANG,Close,,SINNAMON PARK
5043,ELAN,Court,,RUNCORN
5044,ELANORA,Street,,OXLEY
5045,ELAROO,Court,,KARANA DOWNS
5046,ELAROO,Street,,MORNINGSIDE
5047,ELBA,Lane,,MORNINGSIDE
5048,ELBERTA,Street,,MACGREGOR
5049,ELBURY,Street,,MITCHELTON
5050,ELCHO,Place,,CARINDALE
5051,ELCOT,Lane,,SPRING HILL
5052,ELDENA,Place,,PARKINSON
5053,ELDER,Street,,INALA
5054,ELDERBURY,Place,,STRETTON
5055,ELDERNELL,Terrace,,HAMILTON
5056,ELDERSHAW,Street,,EVERTON PARK
5057,ELDERSLIE,Place,,FOREST LAKE
5058,ELDERSLIE,Street,,KEDRON
5059,ELDIN,Street,,WAVELL HEIGHTS
5060,ELDON,Street,,INDOOROOPILLY
5061,ELDORADO,Street,,BRACKEN RIDGE
5062,ELDRIDGE,Street,,TOOWONG
5063,ELEANOR,Street,,CAMP HILL
5064,ELEANOR,Street,,CARINA
5065,ELECTRONICS,Street,,EIGHT MILE PLAINS
5066,ELEGANS,Street,,PALLARA
5067,ELEVATE,Street,,ROCHEDALE
5068,ELEVENTH,Avenue,,BRIGHTON
5069,ELEVENTH,Avenue,,KEDRON
5070,ELEVENTH,Avenue,,ST LUCIA
5071,ELFIN,Street,,EAST BRISBANE
5072,ELFREDA,Street,,ALDERLEY
5073,ELFREDA,Street,,ENOGGERA
5074,ELGAR,Street,,HOLLAND PARK
5075,ELGATA,Street,,THE GAP
5076,ELGIN,Close,,FERNY GROVE
5077,ELGIN,Street,,ALDERLEY
5078,ELIMATTA,Drive,,ASHGROVE
5079,ELINGA,Street,,JINDALEE
5080,ELISHA,Close,,CARINA HEIGHTS
5081,ELITE,Street,,RUNCORN
5082,ELIZA,Close,,THE GAP
5083,ELIZA,Lane,,NUNDAH
5084,ELIZA,Lane,,WAVELL HEIGHTS
5085,ELIZA,Street,,CLAYFIELD
5086,ELIZA,Street,,GRACEVILLE
5087,ELIZABETH,Place,,BRIGHTON
5088,ELIZABETH,Place,,STONES CORNER
5089,ELIZABETH,Street,,ACACIA RIDGE
5090,ELIZABETH,Street,,BRISBANE CITY
5091,ELIZABETH,Street,,PADDINGTON
5092,ELIZABETH,Street,,ROCHEDALE
5093,ELIZABETH,Street,,SHERWOOD
5094,ELIZABETH,Street,,TOOWONG
5095,ELK,Street,,FITZGIBBON
5096,ELKANA,Place,,WISHART
5097,ELKHORN,Street,,ENOGGERA
5098,ELKINGTON,Street,,NUDGEE
5099,ELLA,Street,,NEWSTEAD
5100,ELLA,Street,,RED HILL
5101,ELLAMARK,Street,,BANYO
5102,ELLEN,Street,,ALBION
5103,ELLEN,Street,,CARINA
5104,ELLEN,Street,,MOOROOKA
5105,ELLEN,Street,,OXLEY
5106,ELLEN,Street,,RUNCORN
5107,ELLENA,Avenue,,GREENSLOPES
5108,ELLENA,Street,,PADDINGTON
5109,ELLENDALE,Circuit,,EIGHT MILE PLAINS
5110,ELLERBY,Road,,MOGGILL
5111,ELLERDALE,Street,,ASPLEY
5112,ELLERSLIE,Crescent,,TARINGA
5113,ELLERWOOD,Place,,SINNAMON PARK
5114,ELLESMERE,Place,,PARKINSON
5115,ELLESMERE,Street,,YERONGA
5116,ELLIE,Court,,UPPER KEDRON
5117,ELLINGTON,Street,,TARRAGINDI
5118,ELLIOT,Street,,ALBION
5119,ELLIOT,Street,,CARSELDINE
5120,ELLIOT,Street,,HEATHWOOD
5121,ELLIOT,Street,,NORMAN PARK
5122,ELLIOT,Street,,TARRAGINDI
5123,ELLIOTT,Road,,BANYO
5124,ELLIOTT,Road,,NUDGEE
5125,ELLIOTT,Street,,CLAYFIELD
5126,ELLIOTT,Street,,DUTTON PARK
5127,ELLIOTT,Street,,HAWTHORNE
5128,ELLIOTT,Street,,KANGAROO POINT
5129,ELLIOTT,Street,,WOOLLOONGABBA
5130,ELLIS,Street,,KANGAROO POINT
5131,ELLIS,Street,,STONES CORNER
5132,ELLIS,Street,,TENERIFFE
5133,ELLISON,Road,,ASPLEY
5134,ELLISON,Road,,GEEBUNG
5135,ELLORA,Street,,BRIGHTON
5136,ELLWORTHY,Street,,MITCHELTON
5137,ELM,Close,,SINNAMON PARK
5138,ELM,Court,,STRETTON
5139,ELM,Crescent,,BRACKEN RIDGE
5140,ELM,Place,,HEATHWOOD
5141,ELM,Street,,WYNNUM
5142,ELMA,Street,,SALISBURY
5143,ELMES,Road,,ROCKLEA
5144,ELMFIELD,Street,,WISHART
5145,ELMIRA,Street,,INDOOROOPILLY
5146,ELMSTEAD,Street,,KEPERRA
5147,ELOISE,Place,,SUMNER
5148,ELOUERA,Road,,ASHGROVE
5149,ELPHINSTONE,Street,,DOOLANDELLA
5150,ELROSE,Street,,KEPERRA
5151,ELSA,Street,,MOUNT GRAVATT
5152,ELSANNE,Street,,ASPLEY
5153,ELSE,Avenue,,PULLENVALE
5154,ELSERGUNDO,Street,,BRACKEN RIDGE
5155,ELSIE,Close,,KURABY
5156,ELSIE,Place,,SINNAMON PARK
5157,ELSON,Road,,NORTHGATE
5158,ELSTON,Street,,RED HILL
5159,ELSTREE,Street,,BALD HILLS
5160,ELTHAM,Street,,KEDRON
5161,ELTON,Street,,HEMMANT
5162,ELVA,Street,,SUNNYBANK
5163,ELVENDON,Street,,THE GAP
5164,ELVIN,Place,,BRACKEN RIDGE
5165,ELWELL,Street,,MORNINGSIDE
5166,ELWICK,Place,,BRACKEN RIDGE
5167,ELWOOD,Street,,FOREST LAKE
5168,ELWOOD,Street,,KENMORE HILLS
5169,ELWYN,Street,,NORTHGATE
5170,ELY,Lane,,BRISBANE CITY
5171,ELYSTAN,Road,,NEW FARM
5172,EMBIE,Street,,HOLLAND PARK WEST
5173,EMBLEM,Street,,JAMBOREE HEIGHTS
5174,EMCONA,Street,,TINGALPA
5175,EMELINE,Street,,KELVIN GROVE
5176,EMERALD,Court,,KENMORE
5177,EMERALD,Place,,BRIDGEMAN DOWNS
5178,EMERALD,Place,,MITCHELTON
5179,EMERALD,Place,,RUNCORN
5180,EMERALD,Street,,KEDRON
5181,EMERALD,Street,,MURARRIE
5182,EMERALD,Street,,PALLARA
5183,EMERSON,Close,,DURACK
5184,EMERSON,Street,,TOOWONG
5185,EMERY,Street,,SUNNYBANK HILLS
5186,EMILY,Place,,SUMNER
5187,EMILY,Street,,ACACIA RIDGE
5188,EMILY,Street,,DEAGON
5189,EMILY,Street,,HIGHGATE HILL
5190,EMINENCE,Lane,,BRIDGEMAN DOWNS
5191,EMINENT,Street,,ROCHEDALE
5192,EMLYN,Street,,COORPAROO
5193,EMMA HOLT,Court,,MOUNT CROSBY
5194,EMMA,Place,,FIG TREE POCKET
5195,EMMA,Street,,BRACKEN RIDGE
5196,EMMA,Street,,HOLLAND PARK WEST
5197,EMMA,Street,,KALINGA
5198,EMMA,Street,,KELVIN GROVE
5199,EMMA,Street,,MILTON
5200,EMMA,Street,,RED HILL
5201,EMMETT,Street,,WYNNUM WEST
5202,EMPEROR,Street,,ANNERLEY
5203,EMPIRE,Avenue,,LOTA
5204,EMPIRE,Avenue,,MANLY WEST
5205,EMPRESS,Close,,HEATHWOOD
5206,EMPRESS,Drive,,CARINDALE
5207,EMPRESS,Terrace,,BARDON
5208,EMSWORTH,Street,,WYNNUM
5209,EMU,Lane,,EAST BRISBANE
5210,EMU,Place,,DOOLANDELLA
5211,EMUGLEN,Place,,FERNY GROVE
5212,EMUNGERIE,Grove,,KARANA DOWNS
5213,ENBORISOFF,Street,,TAIGUM
5214,ENBROOK,Street,,BRACKEN RIDGE
5215,END,Street,,HIGHGATE HILL
5216,END,Street,,KANGAROO POINT
5217,ENDEAVOUR,Close,,FITZGIBBON
5218,ENDEAVOUR,Close,,HEMMANT
5219,ENDEAVOUR,Crescent,,PALLARA
5220,ENDEAVOUR,Street,,MOUNT OMMANEY
